
-----------------07/23/2018 00:22:58-------------------

13.49/2.76/0/1/4/;17.40/12.20/0/5/8/;33.28/9.83/0/1/4/;15.12/3.72/0/1/4/;30.57/11.25/0/5/10/;
7.98/2.78/0/1/7/;11.83/5.94/0/3/8/;15.87/11.04/0/1/4/;10.22/3.76/0/1/4/;12.98/7.03/0/2/5/;

-----------------07/23/2018 20:45:45-------------------

21.60/2.77/0/5/15/;22.26/12.30/0/7/16/;32.32/11.08/0/5/11/;23.16/9.57/0/4/13/;27.34/15.65/0/7/10/;
12.26/2.77/0/3/9/;22.40/16.59/0/9/15/;19.22/11.06/0/1/7/;19.68/3.76/0/1/11/;27.44/7.02/0/6/12/;

-----------------07/23/2018 20:50:29-------------------

26.69/2.77/0/5/15/;33.66/10.22/0/6/18/;29.89/19.08/0/3/18/;23.68/3.76/0/1/12/;30.77/16.89/0/11/17/;
9.00/2.78/0/1/8/;14.04/6.00/0/3/7/;19.48/11.09/0/1/6/;14.40/3.75/0/1/6/;20.60/7.03/0/2/8/;
