
-----------------07/23/2018 00:09:59-------------------

24.35/2.76/0/1/3/;21.94/5.94/0/4/6/;42.36/9.79/0/1/3/;17.79/5.27/0/3/6/;28.97/11.25/0/1/4/;
10.44/2.77/1/1/4/;14.77/5.96/0/2/5/;17.38/11.00/0/1/5/;13.80/3.74/0/1/3/;18.48/7.03/0/1/4/;

-----------------07/23/2018 20:15:43-------------------

16.12/2.73/0/1/4/;29.92/16.64/0/3/5/;21.69/11.04/0/1/6/;18.51/3.75/0/2/4/;15.06/7.05/0/2/5/;
9.32/2.79/0/1/4/;22.76/5.98/0/2/4/;20.33/11.05/0/1/4/;10.57/3.76/0/1/4/;19.39/7.02/0/1/3/;

-----------------07/23/2018 20:23:36-------------------

20.71/2.76/0/2/5/;25.28/10.31/0/2/4/;30.58/11.09/0/1/3/;32.01/3.73/0/1/3/;23.74/7.06/0/1/3/;
11.07/2.75/0/1/4/;15.72/5.95/0/3/6/;22.54/11.01/0/1/3/;22.33/3.75/0/1/3/;20.07/7.05/0/1/3/;

-----------------07/23/2018 20:23:53-------------------

27.35/2.77/0/1/9/;31.18/6.01/0/4/13/;28.76/11.07/0/1/7/;25.24/3.74/0/3/8/;29.52/7.03/0/1/10/;
17.77/2.80/0/1/3/;15.28/5.97/0/2/14/;17.58/11.01/0/1/12/;11.39/3.78/0/2/6/;18.26/7.05/0/1/6/;

-----------------07/23/2018 20:28:45-------------------

17.10/2.79/0/1/15/;20.30/10.29/0/2/15/;26.93/11.09/0/2/13/;25.09/9.60/0/1/8/;25.36/11.31/0/1/8/;
17.90/2.79/0/1/5/;23.61/6.00/0/2/5/;37.03/11.03/0/1/3/;13.05/3.79/0/1/5/;18.94/7.01/0/2/8/;

-----------------07/23/2018 20:36:44-------------------

23.25/2.76/0/1/6/;27.79/10.29/0/2/8/;24.28/11.06/0/6/11/;21.18/5.28/0/3/8/;29.40/11.23/0/2/6/;
11.95/2.80/0/1/3/;12.80/5.98/0/2/6/;24.11/11.03/0/2/7/;16.88/3.74/0/1/4/;95.82/7.01/0/1/6/;


