-----------------07/23/2018 19:59:04-------------------

23.85/2.77/0/5/8/;27.79/14.48/0/3/6/;43.29/9.81/0/3/6/;26.90/9.59/0/1/4/;26.55/11.27/0/1/5/;
13.17/2.77/0/5/8/;11.65/5.99/0/3/6/;28.45/11.08/0/1/7/;17.89/3.72/0/1/7/;20.72/7.05/0/2/5/;

-----------------07/23/2018 20:03:37-------------------

22.38/2.77/0/1/7/;27.69/5.94/0/3/7/;25.24/11.04/0/5/10/;21.46/5.30/0/2/5/;33.10/13.39/0/1/6/;
12.06/2.77/0/3/8/;28.32/5.98/0/11/15/;21.52/11.04/0/3/6/;22.55/3.73/0/1/5/;33.34/7.04/0/6/9/;

-----------------07/23/2018 20:08:45-------------------

26.18/2.78/0/3/8/;32.51/10.24/0/9/12/;36.30/9.82/0/1/4/;27.11/9.69/0/7/10/;30.91/15.72/0/6/9/;
15.02/2.80/0/1/4/;19.43/5.98/0/3/6/;27.03/10.98/0/5/12/;15.95/3.79/0/2/8/;24.47/7.01/0/2/10/;

