
-----------------07/24/2018 22:23:22-------------------

22.03/2.76/0/1/3/;21.93/6.00/0/3/5/;22.91/11.10/1/2/6/;21.50/5.30/0/2/4/;32.72/11.31/0/4/6/;
8.87/2.78/0/1/4/;18.46/5.99/0/4/7/;21.02/10.99/0/1/3/;15.03/3.75/0/1/3/;21.02/7.03/0/1/3/;

-----------------07/24/2018 22:27:12-------------------

23.00/2.77/0/2/6/;29.87/10.27/0/3/6/;28.29/11.05/0/1/3/;22.97/9.65/0/1/3/;27.32/15.61/0/1/3/;
16.41/2.77/0/1/3/;21.43/5.97/0/2/4/;26.67/11.04/0/1/3/;16.83/3.77/0/1/3/;22.22/7.03/0/1/3/;

-----------------07/24/2018 22:31:33-------------------

