

-----------------07/24/2018 21:43:22-------------------

14.79/2.77/0/1/5/;20.54/10.30/0/7/11/;57.97/9.82/0/1/5/;26.21/3.75/0/4/8/;35.88/11.32/0/5/16/;
15.71/2.80/0/2/6/;24.60/6.01/0/5/8/;32.02/11.10/0/3/7/;19.40/3.83/0/1/4/;21.78/7.03/0/6/11/;

-----------------07/24/2018 21:48:19-------------------

24.81/2.79/0/3/7/;27.38/5.98/0/11/14/;27.10/11.01/0/6/10/;25.43/5.33/0/6/9/;26.85/13.36/0/6/10/;
18.16/2.75/0/5/8/;21.68/5.95/0/5/9/;24.03/11.01/0/1/4/;19.56/3.73/0/3/6/;26.38/7.02/0/6/10/;

-----------------07/24/2018 21:52:56-------------------

26.41/2.78/0/5/11/;94.15/10.37/0/6/12/;28.90/19.00/0/12/19/;31.02/8.04/0/7/10/;33.77/18.48/0/6/9/;
12.99/.00/0/3/7/;24.33/5.97/0/5/8/;32.16/11.07/0/1/4/;20.77/7.99/0/5/9/;22.09/7.02/0/4/8/;

-----------------07/24/2018 22:00:58-------------------

22.83/2.78/0/3/10/;29.98/5.94/0/6/13/;32.55/11.05/0/4/13/;31.49/3.75/0/2/8/;34.75/11.30/0/5/10/;
18.84/2.76/0/3/8/;22.44/5.99/0/3/7/;27.37/11.01/0/3/6/;18.68/3.76/0/1/4/;36.80/7.02/0/2/5/;
